Series,Country,Rank,Year
"5.02 Tertiary education enrollment, gross %*",Austria,37,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Austria,14,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Austria,25,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Austria,16,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Austria,7,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Austria,16,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Austria,18,2008-2009
5th pillar: Higher education and training,Austria,17,2008-2009
"5.01 Secondary education enrollment, gross %*",Austria,23,2007-2008
"5.02 Tertiary education enrollment, gross %*",Austria,34,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Austria,14,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Austria,26,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Austria,24,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Austria,8,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Austria,15,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Austria,6,2007-2008
5th pillar: Higher education and training,Austria,17,2007-2008
"5.01 Secondary education enrollment, gross %*",Azerbaijan,35,2017-2018
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,90,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,35,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,66,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,72,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,41,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,44,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,51,2017-2018
5th pillar: Higher education and training,Azerbaijan,68,2017-2018
"5.01 Secondary education enrollment, gross %*",Azerbaijan,32,2016-2017
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,94,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,72,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,80,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,89,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,56,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,69,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,82,2016-2017
5th pillar: Higher education and training,Azerbaijan,78,2016-2017
"5.01 Secondary education enrollment, gross %*",Azerbaijan,33,2015-2016
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,91,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,107,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,104,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,121,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,68,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,82,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,90,2015-2016
5th pillar: Higher education and training,Azerbaijan,89,2015-2016
"5.01 Secondary education enrollment, gross %*",Azerbaijan,35,2014-2015
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,91,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,104,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,108,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,124,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,69,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,79,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,94,2014-2015
5th pillar: Higher education and training,Azerbaijan,90,2014-2015
"5.01 Secondary education enrollment, gross %*",Azerbaijan,39,2013-2014
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,93,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,114,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,110,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,134,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,72,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,69,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,80,2013-2014
5th pillar: Higher education and training,Azerbaijan,87,2013-2014
"5.01 Secondary education enrollment, gross %*",Azerbaijan,82,2012-2013
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,90,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,109,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,99,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,123,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,79,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,49,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,56,2012-2013
5th pillar: Higher education and training,Azerbaijan,89,2012-2013
"5.01 Secondary education enrollment, gross %*",Azerbaijan,29,2011-2012
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,90,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,113,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,99,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,125,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,88,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,59,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,67,2011-2012
5th pillar: Higher education and training,Azerbaijan,75,2011-2012
"5.01 Secondary education enrollment, gross %*",Azerbaijan,12,2010-2011
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,98,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,104,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,101,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,124,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,77,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,66,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,68,2010-2011
5th pillar: Higher education and training,Azerbaijan,77,2010-2011
"5.01 Secondary education enrollment, gross %*",Azerbaijan,63,2009-2010
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,96,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,64,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,85,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,117,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,56,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,60,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,32,2009-2010
5th pillar: Higher education and training,Azerbaijan,72,2009-2010
"5.01 Secondary education enrollment, gross %*",Azerbaijan,80,2008-2009
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,95,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,78,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,92,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,119,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,49,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,67,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,39,2008-2009
5th pillar: Higher education and training,Azerbaijan,80,2008-2009
"5.01 Secondary education enrollment, gross %*",Azerbaijan,72,2007-2008
"5.02 Tertiary education enrollment, gross %*",Azerbaijan,92,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Azerbaijan,98,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Azerbaijan,84,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Azerbaijan,118,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Azerbaijan,80,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Azerbaijan,77,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Azerbaijan,85,2007-2008
5th pillar: Higher education and training,Azerbaijan,89,2007-2008
"5.01 Secondary education enrollment, gross %*",Bahrain,40,2017-2018
"5.02 Tertiary education enrollment, gross %*",Bahrain,68,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Bahrain,24,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,31,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Bahrain,34,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Bahrain,36,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,36,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Bahrain,28,2017-2018
5th pillar: Higher education and training,Bahrain,39,2017-2018
"5.01 Secondary education enrollment, gross %*",Bahrain,51,2016-2017
"5.02 Tertiary education enrollment, gross %*",Bahrain,75,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Bahrain,25,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,29,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Bahrain,34,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Bahrain,39,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,35,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Bahrain,26,2016-2017
5th pillar: Higher education and training,Bahrain,44,2016-2017
"5.01 Secondary education enrollment, gross %*",Bahrain,53,2015-2016
"5.02 Tertiary education enrollment, gross %*",Bahrain,73,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Bahrain,26,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,42,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Bahrain,43,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Bahrain,34,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,31,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Bahrain,22,2015-2016
5th pillar: Higher education and training,Bahrain,44,2015-2016
"5.01 Secondary education enrollment, gross %*",Bahrain,53,2014-2015
"5.02 Tertiary education enrollment, gross %*",Bahrain,76,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Bahrain,38,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,58,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Bahrain,59,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Bahrain,39,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,42,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Bahrain,29,2014-2015
5th pillar: Higher education and training,Bahrain,55,2014-2015
"5.01 Secondary education enrollment, gross %*",Bahrain,25,2013-2014
"5.02 Tertiary education enrollment, gross %*",Bahrain,78,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Bahrain,48,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,77,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Bahrain,85,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Bahrain,45,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,52,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Bahrain,41,2013-2014
5th pillar: Higher education and training,Bahrain,53,2013-2014
"5.01 Secondary education enrollment, gross %*",Bahrain,21,2012-2013
"5.02 Tertiary education enrollment, gross %*",Bahrain,51,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Bahrain,35,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,56,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Bahrain,79,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Bahrain,35,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,41,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Bahrain,25,2012-2013
5th pillar: Higher education and training,Bahrain,34,2012-2013
"5.01 Secondary education enrollment, gross %*",Bahrain,41,2011-2012
"5.02 Tertiary education enrollment, gross %*",Bahrain,46,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Bahrain,31,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,40,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Bahrain,60,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Bahrain,32,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,35,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Bahrain,11,2011-2012
5th pillar: Higher education and training,Bahrain,28,2011-2012
"5.01 Secondary education enrollment, gross %*",Bahrain,36,2010-2011
"5.02 Tertiary education enrollment, gross %*",Bahrain,74,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Bahrain,38,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,44,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Bahrain,45,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Bahrain,32,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,81,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Bahrain,16,2010-2011
5th pillar: Higher education and training,Bahrain,44,2010-2011
"5.01 Secondary education enrollment, gross %*",Bahrain,18,2009-2010
"5.02 Tertiary education enrollment, gross %*",Bahrain,67,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Bahrain,40,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,54,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Bahrain,41,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Bahrain,28,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,103,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Bahrain,36,2009-2010
5th pillar: Higher education and training,Bahrain,48,2009-2010
"5.01 Secondary education enrollment, gross %*",Bahrain,19,2008-2009
"5.02 Tertiary education enrollment, gross %*",Bahrain,64,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Bahrain,56,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,68,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Bahrain,85,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Bahrain,37,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,72,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Bahrain,60,2008-2009
5th pillar: Higher education and training,Bahrain,54,2008-2009
"5.01 Secondary education enrollment, gross %*",Bahrain,29,2007-2008
"5.02 Tertiary education enrollment, gross %*",Bahrain,56,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Bahrain,67,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Bahrain,80,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Bahrain,87,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Bahrain,40,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Bahrain,91,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Bahrain,59,2007-2008
5th pillar: Higher education and training,Bahrain,59,2007-2008
"5.01 Secondary education enrollment, gross %*",Bangladesh,104,2017-2018
"5.02 Tertiary education enrollment, gross %*",Bangladesh,107,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,84,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,107,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,104,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,115,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,129,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,119,2017-2018
5th pillar: Higher education and training,Bangladesh,117,2017-2018
"5.01 Secondary education enrollment, gross %*",Bangladesh,110,2016-2017
"5.02 Tertiary education enrollment, gross %*",Bangladesh,109,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,84,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,106,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,110,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,120,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,127,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,124,2016-2017
5th pillar: Higher education and training,Bangladesh,118,2016-2017
"5.01 Secondary education enrollment, gross %*",Bangladesh,116,2015-2016
"5.02 Tertiary education enrollment, gross %*",Bangladesh,105,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,87,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,106,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,105,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,121,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,132,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,130,2015-2016
5th pillar: Higher education and training,Bangladesh,122,2015-2016
"5.01 Secondary education enrollment, gross %*",Bangladesh,118,2014-2015
"5.02 Tertiary education enrollment, gross %*",Bangladesh,104,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,95,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,106,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,105,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,120,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,129,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,131,2014-2015
5th pillar: Higher education and training,Bangladesh,125,2014-2015
"5.01 Secondary education enrollment, gross %*",Bangladesh,118,2013-2014
"5.02 Tertiary education enrollment, gross %*",Bangladesh,107,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,98,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,112,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,105,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,122,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,132,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,137,2013-2014
5th pillar: Higher education and training,Bangladesh,127,2013-2014
"5.01 Secondary education enrollment, gross %*",Bangladesh,116,2012-2013
"5.02 Tertiary education enrollment, gross %*",Bangladesh,109,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,97,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,113,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,91,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,122,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,137,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,136,2012-2013
5th pillar: Higher education and training,Bangladesh,126,2012-2013
"5.01 Secondary education enrollment, gross %*",Bangladesh,119,2011-2012
"5.02 Tertiary education enrollment, gross %*",Bangladesh,116,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,85,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,106,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,90,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,128,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,133,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,121,2011-2012
5th pillar: Higher education and training,Bangladesh,126,2011-2012
"5.01 Secondary education enrollment, gross %*",Bangladesh,116,2010-2011
"5.02 Tertiary education enrollment, gross %*",Bangladesh,116,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,94,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,105,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,86,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,133,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,127,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,129,2010-2011
5th pillar: Higher education and training,Bangladesh,126,2010-2011
"5.01 Secondary education enrollment, gross %*",Bangladesh,112,2009-2010
"5.02 Tertiary education enrollment, gross %*",Bangladesh,110,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,108,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,118,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,101,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,132,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,119,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,132,2009-2010
5th pillar: Higher education and training,Bangladesh,129,2009-2010
"5.01 Secondary education enrollment, gross %*",Bangladesh,112,2008-2009
"5.02 Tertiary education enrollment, gross %*",Bangladesh,110,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,107,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,118,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,114,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,133,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,130,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,133,2008-2009
5th pillar: Higher education and training,Bangladesh,131,2008-2009
"5.01 Secondary education enrollment, gross %*",Bangladesh,110,2007-2008
"5.02 Tertiary education enrollment, gross %*",Bangladesh,107,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Bangladesh,107,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Bangladesh,116,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Bangladesh,110,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Bangladesh,124,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Bangladesh,128,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Bangladesh,127,2007-2008
5th pillar: Higher education and training,Bangladesh,126,2007-2008
"5.01 Secondary education enrollment, gross %*",Barbados,,2017-2018
"5.02 Tertiary education enrollment, gross %*",Barbados,,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Barbados,,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Barbados,,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Barbados,,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Barbados,,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Barbados,,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Barbados,,2017-2018
5th pillar: Higher education and training,Barbados,,2017-2018
"5.01 Secondary education enrollment, gross %*",Barbados,20,2016-2017
"5.02 Tertiary education enrollment, gross %*",Barbados,36,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Barbados,22,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Barbados,20,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Barbados,36,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Barbados,54,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Barbados,45,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Barbados,46,2016-2017
5th pillar: Higher education and training,Barbados,29,2016-2017
"5.01 Secondary education enrollment, gross %*",Barbados,,2015-2016
"5.02 Tertiary education enrollment, gross %*",Barbados,,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Barbados,,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Barbados,,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Barbados,,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Barbados,,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Barbados,,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Barbados,,2015-2016
5th pillar: Higher education and training,Barbados,,2015-2016
"5.01 Secondary education enrollment, gross %*",Barbados,19,2014-2015
"5.02 Tertiary education enrollment, gross %*",Barbados,42,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Barbados,15,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Barbados,7,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Barbados,28,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Barbados,44,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Barbados,37,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Barbados,39,2014-2015
5th pillar: Higher education and training,Barbados,30,2014-2015
"5.01 Secondary education enrollment, gross %*",Barbados,23,2013-2014
"5.02 Tertiary education enrollment, gross %*",Barbados,33,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Barbados,6,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Barbados,9,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Barbados,26,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Barbados,38,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Barbados,41,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Barbados,32,2013-2014
5th pillar: Higher education and training,Barbados,20,2013-2014
"5.01 Secondary education enrollment, gross %*",Barbados,30,2012-2013
"5.02 Tertiary education enrollment, gross %*",Barbados,24,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Barbados,7,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Barbados,7,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Barbados,21,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Barbados,33,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Barbados,42,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Barbados,30,2012-2013
5th pillar: Higher education and training,Barbados,19,2012-2013
"5.01 Secondary education enrollment, gross %*",Barbados,16,2011-2012
"5.02 Tertiary education enrollment, gross %*",Barbados,42,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Barbados,15,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Barbados,10,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Barbados,26,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Barbados,30,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Barbados,50,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Barbados,36,2011-2012
5th pillar: Higher education and training,Barbados,25,2011-2012
"5.01 Secondary education enrollment, gross %*",Barbados,14,2010-2011
"5.02 Tertiary education enrollment, gross %*",Barbados,41,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Barbados,15,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Barbados,13,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Barbados,29,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Barbados,34,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Barbados,70,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Barbados,43,2010-2011
5th pillar: Higher education and training,Barbados,27,2010-2011
"5.01 Secondary education enrollment, gross %*",Barbados,16,2009-2010
"5.02 Tertiary education enrollment, gross %*",Barbados,37,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Barbados,13,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Barbados,12,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Barbados,27,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Barbados,42,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Barbados,62,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Barbados,37,2009-2010
5th pillar: Higher education and training,Barbados,26,2009-2010
"5.01 Secondary education enrollment, gross %*",Barbados,18,2008-2009
